time;air.T
233100.0;314.91035531865583
234000.0;315.00310590050293
234900.0;315.093312230175
235800.0;315.1808399187425
236700.0;315.26246013728263
237600.0;315.3442726232697
238500.0;315.1863929269602
239400.0;315.0731908670496
240300.0;314.97908814522344
241200.0;314.8925022628258
242100.0;314.82106382741085
243000.0;314.76039065762114
243900.0;314.70448464211813
244800.0;314.65576140665536
245700.0;314.61306190702345
246600.0;314.5722283424498
247500.0;314.53671753921094
248400.0;314.50595026406666
249300.0;314.47950855817163
250200.0;314.45706124505034
251100.0;314.4383212060674
252000.0;314.41959515340125
252900.0;314.40457096849633
253800.0;314.3927677575152
254700.0;314.3837917361744
255600.0;314.3772955739345
256500.0;314.36952956087447
257400.0;314.36412976160716
258300.0;314.3605687737501
259200.0;314.3584118820059
260100.0;314.3572768095462
261000.0;314.35681099074463
261900.0;314.35667904959575
262800.0;314.3565559974166
263700.0;314.3526979864079
264600.0;314.3487418831617
265500.0;314.34416260959244
266400.0;314.3385330890223
267300.0;314.33148616197315
268200.0;314.32269310730163
269100.0;314.31185168434143
270000.0;314.2986797428166
270900.0;314.2829118724983
271800.0;314.2642980678229
272700.0;314.2426032138944
273600.0;314.21760727098444
274500.0;314.20405765665345
275400.0;314.18048142319486
276300.0;314.1632306503368
277200.0;314.15952910928735
278100.0;314.1573576561571
279000.0;314.15978022839266
279900.0;314.16078671261465
280800.0;314.1670269032643
281700.0;314.1784957032245
282600.0;314.19421277092175
283500.0;314.21754864898605
284400.0;314.25603347972765
285300.0;314.2895934113365
286200.0;314.3271188415906
287100.0;314.37852595899705
288000.0;314.4445676411891
288900.0;314.51894458531024
289800.0;314.5997789931762
290700.0;314.6811256316273
291600.0;314.768133516477
292500.0;315.0794900412295
293400.0;315.3637696411014
294300.0;315.6202082691485
295200.0;315.8694770457247
296100.0;316.1099687080634
297000.0;316.3452959350287
297900.0;316.5829710143325
298800.0;316.8172249531872
299700.0;317.03986870932357
300600.0;317.2533564709063
301500.0;317.46346138222543
302400.0;317.6634416799091
303300.0;317.8738799954352
304200.0;318.07926897201133
305100.0;318.2742522670437
306000.0;318.4653465941254
306900.0;318.6432495757356
307800.0;318.809951622563
308700.0;318.97747211748384
309600.0;319.1375154242329
310500.0;319.2900846987606
311400.0;319.4353080654676
312300.0;319.57055401326124
313200.0;319.701707158758
314100.0;319.8170725440757
315000.0;319.92607559206596
315900.0;320.0313200154106
316800.0;320.1254654747542
317700.0;320.2224768241636
318600.0;320.31274163690915
319500.0;320.40422212990273
320400.0;320.48871824880507
321300.0;320.56913717783243
322200.0;320.6509517021792
323100.0;320.7225623206364
324000.0;320.79353277534403
324900.0;320.6331855398481
325800.0;320.5082254085192
326700.0;320.4019371617737
327600.0;320.3024123780372
328500.0;320.2198931430794
329400.0;320.1482602210751
330300.0;320.08147448834274
331200.0;320.02192783425977
332100.0;319.96844746286354
333000.0;319.91686759211535
333900.0;319.8706404184887
334800.0;319.82918400194626
335700.0;319.79207880529185
336600.0;319.75556669308827
337500.0;319.72330903584657
338400.0;319.69481967379363
339300.0;319.6697108739106
340200.0;319.647647016219
341100.0;319.62489226870656
342000.0;319.60509690093903
342900.0;319.5877467383681
343800.0;319.57241871459985
344700.0;319.5587401261547
345600.0;319.54636575392743
346500.0;319.5349650635955
347400.0;319.5242153829401
348300.0;319.5103725966277
349200.0;319.49707071510585
350100.0;319.48377912263595
351000.0;319.470062633671
351900.0;319.45554342365557
352800.0;319.43987958462003
353700.0;319.41932718560867
354600.0;319.39753499393595
355500.0;319.3739987368502
356400.0;319.3483193231153
357300.0;319.32016376635835
358200.0;319.28924286929544
359100.0;319.25529889775277
360000.0;319.21809866051103
360900.0;319.1821752907505
361800.0;319.15154101186624
362700.0;319.1247550804823
363600.0;319.1111053307794
364500.0;319.0936569025705
365400.0;319.069377541184
366300.0;319.061098695612
367200.0;319.0493317435938
368100.0;319.03322685538075
369000.0;319.03077736237225
369900.0;319.02614167493425
370800.0;319.044064970951
371700.0;319.0401686126189
372600.0;319.0647813915297
373500.0;319.0498061939085
374400.0;319.07718674384887
375300.0;319.1275558474824
376200.0;319.1397165521988
377100.0;319.1361326065747
378000.0;319.1158690903115
378900.0;319.4347260714314
379800.0;319.6992253694133
380700.0;319.9591544679128
381600.0;320.18695648977615
382500.0;320.4097487083001
383400.0;320.62134653299665
384300.0;320.8290987720261
385200.0;321.04569849037904
386100.0;321.22238212966147
387000.0;321.42549124885016
387900.0;321.62809175405357
388800.0;321.8246231909545
389700.0;322.00465244562025
390600.0;322.17654390682685
391500.0;322.3515009287168
392400.0;322.45953445390955
393300.0;322.63492401611546
394200.0;322.80115974195576
395100.0;322.95650149281454
396000.0;323.1143120075164
396900.0;323.2519827341132
397800.0;323.3840662235817
398700.0;323.51305614747656
399600.0;323.6270936115659
400500.0;323.73236087306304
401400.0;323.8004157627486
402300.0;323.8418350998919
403200.0;323.87582351114423
404100.0;323.900123978121
405000.0;323.9340823494025
405900.0;323.96926810588695
406800.0;323.9858551287955
407700.0;324.00664645883535
408600.0;324.0367553936108
409500.0;324.0741650548395
410400.0;324.11944414283624
411300.0;323.93734982540497
412200.0;323.79575376845236
413100.0;323.67966678709183
414000.0;323.5769812654568
414900.0;323.48660416996717
415800.0;323.4019455655715
416700.0;323.32851289407637
417600.0;323.264438687068
418500.0;323.2017351064612
419400.0;323.1441537139709
420300.0;323.087866847757
421200.0;323.033089115628
422100.0;322.98328964857114
423000.0;322.9378829510211
423900.0;322.89643475740735
424800.0;322.85516662681795
425700.0;322.81771714501815
426600.0;322.78357687319243
427500.0;322.7523354545717
428400.0;322.72363594187453
429300.0;322.69714899986127
430200.0;322.66913243033576
431100.0;322.6432243352467
432000.0;322.6188967281518
432900.0;322.59571334413897
433800.0;322.57329032829847
434700.0;322.55127415934635
435600.0;322.5259033501243
436500.0;322.50080289413296
437400.0;322.4754386014349
438300.0;322.449375353512
439200.0;322.4222380748722
440100.0;322.3936896520643
441000.0;322.3634186779412
441900.0;322.33113293310487
442800.0;322.2965559348031
443700.0;322.25942559458923
444600.0;322.21606772869563
445500.0;322.1701972569203
446400.0;322.12137619850984
447300.0;322.0719125171043
448200.0;322.0316041876722
449100.0;321.99550101329237
450000.0;321.96983664686036
450900.0;321.94668906226514
451800.0;321.94102453537266
452700.0;321.9377480577448
453600.0;321.9202590186732
454500.0;321.9043480933015
455400.0;321.9076628847783
456300.0;321.8941499295717
457200.0;321.8704378439484
458100.0;321.8856814030353
459000.0;321.93349400691267
459900.0;321.9168064119143
460800.0;321.9250001319451
461700.0;321.9879366492469
462600.0;322.06887820980245
463500.0;322.15677756225546
464400.0;322.2300764746359
465300.0;322.3680336912155
466200.0;322.5944965224084
467100.0;322.8422864006986
468000.0;323.0537545510968
468900.0;323.27233992275075
469800.0;323.4987168487508
470700.0;323.70779809336835
471600.0;323.7772832920662
472500.0;323.9782250715127
473400.0;324.20980740818857
474300.0;324.4054977269543
475200.0;324.57869991335804
476100.0;324.7123758388248
477000.0;324.92586078192534
477900.0;325.06711734203964
478800.0;325.17416325718176
479700.0;325.3224840383332
480600.0;325.48392891766747
481500.0;325.6001767214874
482400.0;325.7747415119736
483300.0;325.92509257805574
484200.0;326.0579568159453
485100.0;326.1761236396107
486000.0;326.29641256296316
486900.0;326.4002408847564
